напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.000000
количество точек фаза 1	200
количество точек фаза 2	200
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	17

номер точки	напряжение, В 	ток, А
1	-0.002591	-0.000006
2	-0.015269	-0.000013
3	-0.027947	-0.000017
4	-0.040222	-0.000024
5	-0.052658	-0.000030
6	-0.065739	-0.000036
7	-0.078578	-0.000042
8	-0.090773	-0.000048
9	-0.103531	-0.000055
10	-0.116048	-0.000061
11	-0.128967	-0.000067
12	-0.141082	-0.000072
13	-0.154082	-0.000079
14	-0.166276	-0.000085
15	-0.179115	-0.000092
16	-0.191230	-0.000099
17	-0.203907	-0.000104
18	-0.216746	-0.000113
19	-0.230552	-0.000117
20	-0.241700	-0.000123
21	-0.254377	-0.000131
22	-0.266894	-0.000135
23	-0.280216	-0.000142
24	-0.292331	-0.000148
25	-0.304767	-0.000157
26	-0.317606	-0.000161
27	-0.330445	-0.000169
28	-0.342881	-0.000175
29	-0.355398	-0.000180
30	-0.368398	-0.000188
31	-0.380593	-0.000194
32	-0.393190	-0.000201
33	-0.406190	-0.000208
34	-0.418707	-0.000215
35	-0.431143	-0.000221
36	-0.444304	-0.000229
37	-0.456741	-0.000234
38	-0.469580	-0.000240
39	-0.482660	-0.000247
40	-0.494291	-0.000258
41	-0.507694	-0.000262
42	-0.519969	-0.000268
43	-0.533130	-0.000269
44	-0.545325	-0.000282
45	-0.558808	-0.000287
46	-0.571164	-0.000292
47	-0.583922	-0.000298
48	-0.596681	-0.000304
49	-0.609198	-0.000307
50	-0.622198	-0.000307
51	-0.635600	-0.000311
52	-0.647876	-0.000318
53	-0.660473	-0.000325
54	-0.673956	-0.000327
55	-0.686795	-0.000321
56	-0.699473	-0.000329
57	-0.712312	-0.000334
58	-0.725312	-0.000333
59	-0.738393	-0.000326
60	-0.750909	-0.000342
61	-0.764393	-0.000339
62	-0.776909	-0.000344
63	-0.789507	-0.000351
64	-0.802507	-0.000351
65	-0.815426	-0.000357
66	-0.827863	-0.000368
67	-0.841265	-0.000360
68	-0.853540	-0.000367
69	-0.866621	-0.000370
70	-0.879702	-0.000371
71	-0.891574	-0.000395
72	-0.905138	-0.000399
73	-0.917655	-0.000399
74	-0.930011	-0.000404
75	-0.944138	-0.000406
76	-0.956655	-0.000395
77	-0.969252	-0.000402
78	-0.982735	-0.000404
79	-0.994286	-0.000425
80	-1.006561	-0.000444
81	-1.019239	-0.000450
82	-1.032239	-0.000453
83	-1.044997	-0.000458
84	-1.058561	-0.000437
85	-1.073252	-0.000417
86	-1.089393	-0.000319
87	-1.100379	-0.000392
88	-1.116761	-0.000303
89	-1.126702	-0.000365
90	-1.143003	-0.000302
91	-1.160351	-0.000207
92	-1.173673	-0.000197
93	-1.186593	-0.000207
94	-1.202089	-0.000148
95	-1.215653	-0.000148
96	-1.229700	-0.000127
97	-1.244391	-0.000120
98	-1.257230	-0.000105
99	-1.269907	-0.000080
100	-1.282344	-0.000114
101	-1.295907	-0.000118
102	-1.283391	-0.000104
103	-1.272162	-0.000056
104	-1.260934	-0.000064
105	-1.244632	-0.000075
106	-1.233645	-0.000058
107	-1.220162	-0.000058
108	-1.207404	-0.000082
109	-1.193921	-0.000068
110	-1.181082	-0.000055
111	-1.169370	-0.000076
112	-1.156048	-0.000054
113	-1.144014	-0.000053
114	-1.131095	-0.000062
115	-1.116726	-0.000053
116	-1.103967	-0.000047
117	-1.091853	-0.000052
118	-1.080142	-0.000047
119	-1.064967	-0.000047
120	-1.052451	-0.000057
121	-1.039289	-0.000050
122	-1.026370	-0.000040
123	-1.013370	-0.000062
124	-1.000370	-0.000055
125	-0.988256	-0.000038
126	-0.975739	-0.000035
127	-0.962336	-0.000045
128	-0.949417	-0.000036
129	-0.936980	-0.000033
130	-0.923819	-0.000035
131	-0.911222	-0.000038
132	-0.898786	-0.000026
133	-0.884980	-0.000030
134	-0.871578	-0.000032
135	-0.859303	-0.000040
136	-0.845819	-0.000035
137	-0.832819	-0.000031
138	-0.820142	-0.000031
