напляжение фаза 1, В	-1.400000
напляжение фаза 2, В	1.100000
количество точек фаза 1	100
количество точек фаза 2	100
длительность импульсов, us	25000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	18

номер точки	напряжение, В 	ток, А
1	-0.002349	-0.000006
2	-0.029866	-0.000017
3	-0.056819	-0.000027
4	-0.084014	-0.000039
5	-0.111048	-0.000050
6	-0.138484	-0.000062
7	-0.165760	-0.000073
8	-0.193196	-0.000085
9	-0.219988	-0.000097
10	-0.247424	-0.000109
11	-0.274780	-0.000121
12	-0.301894	-0.000133
13	-0.329331	-0.000145
14	-0.356928	-0.000156
15	-0.384042	-0.000168
16	-0.411237	-0.000181
17	-0.438754	-0.000192
18	-0.466190	-0.000203
19	-0.493304	-0.000219
20	-0.521063	-0.000229
21	-0.548258	-0.000241
22	-0.575291	-0.000255
23	-0.603050	-0.000266
24	-0.630647	-0.000275
25	-0.657761	-0.000287
26	-0.685439	-0.000301
27	-0.712715	-0.000310
28	-0.740312	-0.000326
29	-0.767748	-0.000339
30	-0.795024	-0.000351
31	-0.823265	-0.000352
32	-0.850379	-0.000372
33	-0.877896	-0.000384
34	-0.904930	-0.000406
35	-0.931803	-0.000431
36	-0.958756	-0.000462
37	-0.985870	-0.000484
38	-1.012904	-0.000526
39	-1.039857	-0.000548
40	-1.067132	-0.000556
41	-1.095213	-0.000558
42	-1.121844	-0.000611
43	-1.150649	-0.000581
44	-1.198861	-0.000135
45	-1.225411	-0.000150
46	-1.254539	-0.000132
47	-1.281733	-0.000130
48	-1.309331	-0.000129
49	-1.338941	-0.000125
50	-1.366861	-0.000130
51	-1.393089	-0.000135
52	-1.364284	-0.000127
53	-1.338458	-0.000119
54	-1.312069	-0.000108
55	-1.284310	-0.000100
56	-1.257115	-0.000094
57	-1.229115	-0.000088
58	-1.201679	-0.000083
59	-1.172310	-0.000075
60	-1.145196	-0.000093
61	-1.118082	-0.000070
62	-1.090726	-0.000071
63	-1.062162	-0.000066
64	-1.035048	-0.000063
65	-1.007128	-0.000057
66	-0.978967	-0.000058
67	-0.951048	-0.000053
68	-0.923934	-0.000052
69	-0.895612	-0.000048
70	-0.867773	-0.000047
71	-0.839934	-0.000044
72	-0.811853	-0.000041
73	-0.784095	-0.000038
74	-0.757061	-0.000035
75	-0.729383	-0.000033
76	-0.700658	-0.000031
77	-0.672980	-0.000030
