напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.200000
количество точек фаза 1	50
количество точек фаза 2	50
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	9

номер точки	напряжение, В 	ток, А
1	-0.002269	-0.000007
2	-0.051612	-0.000045
3	-0.100713	-0.000087
4	-0.150136	-0.000124
5	-0.200284	-0.000166
6	-0.249546	-0.000216
7	-0.299050	-0.000257
8	-0.348956	-0.000306
9	-0.398379	-0.000360
10	-0.447400	-0.000441
11	-0.497306	-0.000502
12	-0.546005	-0.000586
13	-0.596878	-0.000629
14	-0.647026	-0.000686
15	-0.698542	-0.000710
16	-0.750462	-0.000701
17	-0.802945	-0.000696
18	-0.856958	-0.000615
19	-0.911052	-0.000562
20	-0.966756	-0.000447
21	-1.016662	-0.000533
22	-1.072044	-0.000411
23	-1.124769	-0.000437
24	-1.174112	-0.000472
25	-1.225065	-0.000564
26	-1.275937	-0.000550
27	-1.226836	-0.000486
28	-1.178540	-0.000402
29	-1.127024	-0.000366
30	-1.075990	-0.000334
31	-1.025681	-0.000315
32	-0.974647	-0.000268
33	-0.924097	-0.000242
34	-0.874029	-0.000204
35	-0.822673	-0.000186
36	-0.772767	-0.000164
37	-0.721653	-0.000143
38	-0.670216	-0.000127
39	-0.618861	-0.000118
40	-0.567666	-0.000102
41	-0.516471	-0.000090
42	-0.465276	-0.000080
43	-0.413760	-0.000072
44	-0.363048	-0.000062
45	-0.311048	-0.000052
46	-0.260014	-0.000043
47	-0.208658	-0.000033
48	-0.157061	-0.000025
49	-0.105625	-0.000018
50	-0.054269	-0.000011
51	-0.002510	-0.000004
52	0.044684	0.000001
53	0.092443	0.000007
54	0.139879	0.000014
55	0.187396	0.000022
56	0.234832	0.000029
57	0.282269	0.000037
58	0.329141	0.000048
59	0.376497	0.000057
60	0.423692	0.000060
61	0.470323	0.000086
62	0.515746	0.000112
63	0.562941	0.000110
64	0.583965	0.000298
65	0.478003	0.000424
66	0.477447	0.000424
67	0.487923	0.000424
68	0.481086	0.000423
69	0.480128	0.000423
70	0.472566	0.000423
71	0.473862	0.000422
72	0.485868	0.000422
73	0.484184	0.000421
74	0.482098	0.000421
75	0.488870	0.000421
76	0.481147	0.000420
77	0.480093	0.000421
78	0.479038	0.000421
79	0.471703	0.000421
80	0.481680	0.000422
81	0.476197	0.000422
82	0.476109	0.000422
83	0.476504	0.000423
84	0.472873	0.000423
85	0.476489	0.000424
86	0.474790	0.000424
87	0.471239	0.000424
88	0.464870	0.000423
89	0.457052	0.000419
90	0.438685	0.000407
91	0.410413	0.000383
92	0.378840	0.000348
93	0.341469	0.000310
94	0.302005	0.000271
95	0.260608	0.000227
96	0.218808	0.000189
97	0.175639	0.000150
98	0.131988	0.000110
99	0.087531	0.000070
100	0.042108	0.000032
101	-0.002188	-0.000006
102	-0.050967	-0.000051
103	-0.100149	-0.000095
104	-0.149572	-0.000140
105	-0.198834	-0.000187
106	-0.248177	-0.000235
107	-0.297681	-0.000286
108	-0.347346	-0.000338
109	-0.396930	-0.000397
110	-0.446997	-0.000450
111	-0.496662	-0.000507
112	-0.548582	-0.000514
113	-0.602836	-0.000457
114	-0.657091	-0.000411
115	-0.707964	-0.000423
116	-0.759239	-0.000450
117	-0.816715	-0.000324
118	-0.866702	-0.000362
119	-0.919265	-0.000359
120	-0.970782	-0.000374
121	-1.023507	-0.000374
122	-1.073494	-0.000387
123	-1.123964	-0.000455
124	-1.172421	-0.000527
125	-1.224501	-0.000552
126	-1.274408	-0.000577
127	-1.228205	-0.000443
128	-1.178379	-0.000369
129	-1.126138	-0.000359
130	-1.077278	-0.000342
131	-1.026889	-0.000280
132	-0.974325	-0.000277
133	-0.924338	-0.000229
134	-0.874110	-0.000217
135	-0.823398	-0.000186
136	-0.773170	-0.000172
137	-0.721411	-0.000152
138	-0.670539	-0.000124
139	-0.619505	-0.000123
140	-0.567907	-0.000100
141	-0.516713	-0.000093
142	-0.465437	-0.000080
143	-0.413760	-0.000068
144	-0.362645	-0.000062
145	-0.311289	-0.000051
146	-0.260014	-0.000040
147	-0.208658	-0.000034
148	-0.157061	-0.000025
149	-0.105625	-0.000017
150	-0.054108	-0.000011
151	-0.002510	-0.000005
152	0.045006	0.000001
153	0.092443	0.000006
154	0.139960	0.000012
155	0.187235	0.000022
156	0.234752	0.000029
157	0.282591	0.000030
158	0.329947	0.000040
159	0.376336	0.000059
160	0.423853	0.000061
161	0.469276	0.000091
162	0.514941	0.000111
163	0.559720	0.000152
164	0.599587	0.000209
165	0.602333	0.000384
166	0.515052	0.000424
167	0.508698	0.000424
168	0.523925	0.000424
169	0.520873	0.000423
170	0.514600	0.000423
171	0.507199	0.000422
172	0.527257	0.000422
173	0.519856	0.000422
174	0.521313	0.000421
175	0.520194	0.000421
176	0.521490	0.000421
177	0.510692	0.000421
178	0.509637	0.000421
179	0.505684	0.000422
180	0.505435	0.000422
181	0.500596	0.000422
182	0.503729	0.000423
183	0.504607	0.000423
184	0.506773	0.000423
185	0.509987	0.000424
186	0.505067	0.000424
187	0.493061	0.000424
188	0.491524	0.000421
189	0.474687	0.000414
190	0.447140	0.000397
191	0.416050	0.000374
192	0.381095	0.000342
193	0.341791	0.000306
194	0.302810	0.000265
195	0.261493	0.000229
196	0.218727	0.000190
197	0.175559	0.000149
198	0.131827	0.000110
199	0.087611	0.000073
200	0.042752	0.000031
201	-0.002108	-0.000007
202	-0.051289	-0.000045
203	-0.100310	-0.000093
204	-0.149492	-0.000137
205	-0.198754	-0.000183
206	-0.248580	-0.000231
207	-0.297681	-0.000287
208	-0.347426	-0.000342
209	-0.397413	-0.000387
210	-0.446917	-0.000443
211	-0.497790	-0.000487
212	-0.547696	-0.000539
213	-0.598488	-0.000569
214	-0.648958	-0.000623
215	-0.699348	-0.000670
216	-0.751831	-0.000660
217	-0.802945	-0.000704
218	-0.857280	-0.000622
219	-0.912179	-0.000530
220	-0.963374	-0.000569
221	-1.023346	-0.000316
222	-1.072205	-0.000414
223	-1.124447	-0.000433
224	-1.176608	-0.000441
225	-1.227883	-0.000459
226	-1.276743	-0.000530
227	-1.228849	-0.000409
228	-1.177494	-0.000374
229	-1.127990	-0.000329
230	-1.077198	-0.000327
231	-1.026728	-0.000301
232	-0.976097	-0.000277
233	-0.925466	-0.000207
234	-0.875720	-0.000178
235	-0.823076	-0.000191
236	-0.773572	-0.000146
237	-0.722055	-0.000130
238	-0.670700	-0.000125
239	-0.619424	-0.000112
240	-0.568069	-0.000102
241	-0.516874	-0.000087
242	-0.465598	-0.000079
243	-0.414323	-0.000067
244	-0.362967	-0.000054
245	-0.311773	-0.000045
246	-0.260256	-0.000038
247	-0.208658	-0.000030
248	-0.157142	-0.000024
249	-0.105625	-0.000017
250	-0.053947	-0.000010
251	-0.002833	-0.000005
252	0.045006	0.000001
253	0.092604	0.000006
254	0.140040	0.000011
255	0.187718	0.000017
256	0.235235	0.000023
257	0.282752	0.000026
258	0.330832	0.000031
259	0.378027	0.000039
260	0.424739	0.000053
261	0.471853	0.000065
262	0.516068	0.000103
263	0.561411	0.000116
264	0.606351	0.000155
265	0.654190	0.000154
266	0.496451	0.000424
267	0.491225	0.000424
268	0.493326	0.000423
269	0.496555	0.000423
270	0.483356	0.000423
271	0.484572	0.000422
272	0.489411	0.000422
273	0.492800	0.000421
274	0.494579	0.000421
275	0.491527	0.000421
276	0.497171	0.000420
277	0.495392	0.000421
278	0.493613	0.000421
279	0.489096	0.000422
280	0.492471	0.000422
281	0.488034	0.000422
282	0.490201	0.000423
283	0.487133	0.000423
284	0.488978	0.000423
285	0.484783	0.000424
286	0.482037	0.000424
287	0.477923	0.000424
288	0.478398	0.000422
289	0.465748	0.000416
290	0.444402	0.000400
291	0.415003	0.000374
292	0.380209	0.000342
293	0.342355	0.000304
294	0.302729	0.000266
295	0.261413	0.000227
296	0.218889	0.000186
297	0.175962	0.000148
298	0.132149	0.000109
299	0.087450	0.000070
300	0.042913	0.000030
301	-0.002430	-0.000008
302	-0.051209	-0.000049
303	-0.100552	-0.000093
304	-0.149814	-0.000139
305	-0.199157	-0.000183
306	-0.248580	-0.000231
307	-0.298245	-0.000277
308	-0.347668	-0.000336
309	-0.397735	-0.000394
310	-0.447078	-0.000446
311	-0.495857	-0.000530
312	-0.547696	-0.000541
313	-0.601226	-0.000507
314	-0.654273	-0.000476
315	-0.706836	-0.000457
316	-0.758192	-0.000475
317	-0.813011	-0.000426
318	-0.867265	-0.000349
319	-0.915722	-0.000431
320	-0.973520	-0.000330
321	-1.021735	-0.000401
322	-1.073735	-0.000387
323	-1.124527	-0.000457
324	-1.172823	-0.000508
325	-1.225306	-0.000514
326	-1.275696	-0.000562
327	-1.228286	-0.000413
328	-1.178460	-0.000376
329	-1.127990	-0.000334
330	-1.076876	-0.000304
331	-1.025439	-0.000279
332	-0.975613	-0.000265
333	-0.923936	-0.000238
334	-0.874029	-0.000205
335	-0.823318	-0.000191
336	-0.772042	-0.000176
337	-0.721572	-0.000149
338	-0.670297	-0.000137
339	-0.619102	-0.000117
340	-0.568069	-0.000102
341	-0.516632	-0.000092
342	-0.465357	-0.000080
343	-0.414323	-0.000069
344	-0.362404	-0.000062
345	-0.311209	-0.000053
346	-0.259773	-0.000043
347	-0.208417	-0.000034
348	-0.157142	-0.000026
349	-0.105625	-0.000019
350	-0.054269	-0.000011
351	-0.002671	-0.000005
352	0.045006	0.000001
353	0.092362	0.000008
354	0.139718	0.000014
355	0.187315	0.000020
356	0.234510	0.000028
357	0.281947	0.000034
358	0.330430	0.000035
359	0.377947	0.000038
360	0.424658	0.000051
361	0.471772	0.000062
362	0.518645	0.000075
363	0.566645	0.000081
364	0.612229	0.000094
365	0.661759	0.000083
366	0.616593	0.000415
367	0.598724	0.000424
368	0.580453	0.000424
369	0.573938	0.000424
370	0.550111	0.000423
371	0.555836	0.000423
372	0.555521	0.000422
373	0.552549	0.000422
374	0.558435	0.000422
375	0.557960	0.000421
376	0.562154	0.000421
377	0.560778	0.000421
378	0.562622	0.000422
379	0.561165	0.000422
380	0.549160	0.000422
381	0.547139	0.000423
382	0.543266	0.000423
383	0.553002	0.000423
384	0.542768	0.000424
385	0.557899	0.000424
386	0.555958	0.000423
387	0.542664	0.000421
388	0.525344	0.000413
389	0.496428	0.000396
390	0.465097	0.000369
391	0.429095	0.000341
392	0.390435	0.000309
393	0.348958	0.000275
394	0.307963	0.000236
395	0.264795	0.000200
396	0.221224	0.000166
397	0.177330	0.000133
398	0.133035	0.000098
399	0.087853	0.000062
400	0.043154	0.000028
401	-0.002430	-0.000007
402	-0.051773	-0.000045
403	-0.100793	-0.000083
404	-0.150297	-0.000122
405	-0.200123	-0.000166
406	-0.249627	-0.000207
407	-0.299533	-0.000253
408	-0.349439	-0.000296
409	-0.398863	-0.000347
410	-0.447722	-0.000432
411	-0.497548	-0.000487
412	-0.547293	-0.000547
413	-0.597763	-0.000592
414	-0.647428	-0.000677
415	-0.698301	-0.000717
416	-0.748046	-0.000788
417	-0.798516	-0.000844
418	-0.848503	-0.000917
419	-0.904207	-0.000787
420	-0.958623	-0.000726
421	-1.017065	-0.000513
422	-1.072608	-0.000422
423	-1.123803	-0.000450
424	-1.178540	-0.000376
425	-1.229333	-0.000419
426	-1.276662	-0.000454
427	-1.229252	-0.000401
428	-1.176930	-0.000440
429	-1.126299	-0.000379
430	-1.076312	-0.000330
431	-1.026003	-0.000290
432	-0.976660	-0.000246
433	-0.923372	-0.000228
434	-0.874834	-0.000186
435	-0.822915	-0.000176
436	-0.772848	-0.000143
437	-0.721733	-0.000143
438	-0.669814	-0.000129
439	-0.619344	-0.000115
440	-0.567827	-0.000109
441	-0.517437	-0.000080
442	-0.465840	-0.000071
